Frequency (Hz)	Level (dB)
5218.750000	-31.288301
5234.375000	-30.637711
5250.000000	-31.791985
5265.625000	-33.607086
5281.250000	-35.324844
5296.875000	-36.857407
5312.500000	-38.148460
5328.125000	-39.092300
5343.750000	-39.867447
5359.375000	-40.014984
5375.000000	-40.011387
5390.625000	-39.923183
5406.250000	-39.486706
5421.875000	-38.906361
5437.500000	-37.896152
5453.125000	-36.713146
5468.750000	-35.016872
5484.375000	-33.258472
5500.000000	-31.594532
5515.625000	-30.623465
5531.250000	-30.848980
5546.875000	-32.283676
5562.500000	-33.914692
5578.125000	-35.515347
5593.750000	-36.528286
5609.375000	-37.357864
5625.000000	-37.935932
5640.625000	-38.227894
5656.250000	-38.237217
5671.875000	-38.334396
5687.500000	-37.810303
5703.125000	-37.163265
5718.750000	-36.232414
5734.375000	-35.192230
5750.000000	-33.815685
5765.625000	-32.911060
5781.250000	-31.576891
5796.875000	-30.794657
5812.500000	-31.027620
5828.125000	-31.653143
5843.750000	-32.584663
5859.375000	-33.726784
5875.000000	-34.664268
5890.625000	-35.345123
5906.250000	-35.805157
5921.875000	-35.953930
5937.500000	-35.799793
5953.125000	-35.597210
5968.750000	-35.528240
5984.375000	-35.307503
6000.000000	-34.767567
6015.625000	-34.010689
6031.250000	-33.317680
6046.875000	-32.514809
6062.500000	-32.047848
6078.125000	-32.048462
6093.750000	-32.175259
6109.375000	-32.444107
6125.000000	-32.651756
6140.625000	-33.165531
6156.250000	-33.586315
6171.875000	-33.680908
6187.500000	-33.848396
6203.125000	-34.130947
6218.750000	-34.570869
6234.375000	-34.622711
6250.000000	-34.835258
6265.625000	-35.002872
6281.250000	-35.283978
6296.875000	-35.635963
6312.500000	-36.219654
6328.125000	-36.490391
6343.750000	-36.282516
6359.375000	-36.636929
6375.000000	-36.563171
6390.625000	-36.281864
6406.250000	-35.905254
6421.875000	-35.490067
6437.500000	-34.968105
6453.125000	-35.001755
6468.750000	-34.835773
6484.375000	-35.284618
6500.000000	-36.242718
6515.625000	-37.527283
6531.250000	-38.725838
6546.875000	-40.013603
6562.500000	-41.132107
6578.125000	-41.761581
6593.750000	-42.274815
6609.375000	-42.727718
6625.000000	-42.897186
6640.625000	-42.888515
6656.250000	-42.810257
6671.875000	-42.761963
6687.500000	-41.792728
6703.125000	-40.901993
6718.750000	-40.248642
6734.375000	-39.714787
6750.000000	-39.819759
6765.625000	-40.876488
6781.250000	-42.671638
6796.875000	-44.188702
6812.500000	-45.814293
6828.125000	-47.469872
6843.750000	-48.944099
6859.375000	-49.918972
6875.000000	-50.683872
6890.625000	-51.170368
6906.250000	-51.433201
6921.875000	-51.707542
6937.500000	-51.783165
6953.125000	-51.565353
6968.750000	-50.981289
6984.375000	-49.930794
7000.000000	-48.835537
7015.625000	-48.152561
7031.250000	-48.180721
7046.875000	-49.391026
7062.500000	-51.370514
7078.125000	-53.747166
7093.750000	-55.698647
7109.375000	-57.707561
7125.000000	-59.357422
7140.625000	-60.619064
7156.250000	-61.559853
7171.875000	-62.360462
7187.500000	-62.925903
7203.125000	-63.546070
7218.750000	-63.845219
7234.375000	-63.604424
7250.000000	-63.184273
7265.625000	-62.617100
7281.250000	-61.928169
7296.875000	-60.828983
7312.500000	-60.321045
7328.125000	-61.186337
7343.750000	-62.972984
7359.375000	-65.641861
7375.000000	-67.937202
7390.625000	-70.244675
7406.250000	-71.974060
7421.875000	-73.536377
7437.500000	-74.865692
7453.125000	-75.724556
7468.750000	-76.598587
7484.375000	-77.409821
7500.000000	-77.703781
7515.625000	-77.745628
7531.250000	-77.865555
7546.875000	-77.277969
7562.500000	-76.295738
7578.125000	-75.049850
7593.750000	-74.184807
7609.375000	-74.534004
7625.000000	-76.761147
7640.625000	-79.647507
7656.250000	-83.316765
7671.875000	-86.987938
7687.500000	-90.433701
7703.125000	-93.938850
7718.750000	-97.250488
7734.375000	-100.403717
7750.000000	-103.292900
7765.625000	-106.135475
7781.250000	-108.897339
7796.875000	-111.681145
7812.500000	-114.498985
7828.125000	-117.877884
7843.750000	-121.227669
7859.375000	-124.730278
7875.000000	-128.622375
7890.625000	-133.142380
7906.250000	-139.483917
7921.875000	-145.769531
7937.500000	-148.643265
7953.125000	-149.241104
7968.750000	-149.376190
7984.375000	-149.462036
